FCode,FName,F_category,servings,Kcal,Kcal_per_100
D000247,장어초밥,김밥(초밥)류,250.0,486.26,194.504
D000251,참치덮밥,덮밥류,500.0,679.101,135.82
D000252,참치마요네즈 삼각김밥,김밥(초밥)류,100.0,172.397,172.397
D000253,충무김밥,김밥(초밥)류,400.0,583.926,145.981
D000256,캘리포니아롤,김밥(초밥)류,300.0,487.639,162.546
D000258,한치초밥,김밥(초밥)류,250.0,374.18,149.672
D000259,해물덮밥,덮밥류,700.0,771.933,110.276
D000260,해물볶음밥,볶음밥류,400.0,705.217,176.304
D000261,회덮밥,덮밥류,500.0,683.018,136.604
D000265,깻잎나물볶음,채소류볶음,200.0,206.0,103.0
D000268,돼지고기볶음,육류볶음,200.0,350.673,175.336
D000269,돼지껍데기볶음,육류볶음,150.0,352.0,234.667
D000270,두부김치,채소류볶음,250.0,288.213,115.285
D000273,머위나물볶음,채소류볶음,150.0,108.0,72.0
D000274,멸치풋고추볶음,어패류볶음,20.0,52.379,261.895
D000276,소세지볶음,육류볶음,200.0,471.0,235.5
D000277,순대볶음,육류볶음,400.0,582.0,145.5
D000278,양송이버섯볶음,채소류볶음,150.0,136.0,90.667
D000281,오삼불고기,육류볶음,200.0,363.0,181.5
D000285,주꾸미볶음,어패류볶음,200.0,211.413,105.706
D000286,표고버섯볶음,채소류볶음,150.0,142.0,94.667
D000287,해물볶음,어패류볶음,400.0,419.06,104.765
D000288,곰보빵,기타 빵류,70.0,277.336,396.194
D000291,만주,앙금빵류,70.0,222.494,317.849
D000294,버터크림빵,크림빵류,60.0,229.957,383.262
D000297,불고기피자,피자류,200.0,505.0,252.5
D000299,참치샌드위치,샌드위치류,250.0,555.0,222.0
D000300,찹쌀도우넛,"튀김빵류(도넛, 꽈배기 등)",70.0,207.047,295.781
D000301,채소고로케,"튀김빵류(도넛, 꽈배기 등)",100.0,300.653,300.653
D000302,초콜릿케이크,케이크류,100.0,420.243,420.243
D000303,치즈케이크,케이크류,100.0,329.145,329.145
D000304,치즈피자,피자류,200.0,553.0,276.5
D000308,페이스트리빵,페이스트리류,70.0,319.59,456.557
D000309,페퍼로니피자,피자류,200.0,532.0,266.0
D000310,포테이토피자,피자류,250.0,628.0,251.2
D000313,수정과,기타 음료 및 차류,150.0,133.004,88.669
D000314,식혜,기타 음료 및 차류,150.0,130.137,86.758
D000316,간장마늘쫑장아찌,장아찌.절임류,50.0,30.0,60.0
D000317,고추장마늘쫑장아찌,장아찌.절임류,50.0,55.0,110.0
D000321,매실장아찌,장아찌.절임류,30.0,72.879,242.93
D000322,무장아찌,장아찌.절임류,30.0,23.923,79.743
D000326,계적,적류,250.0,488.084,195.234
D000327,낙지꼬지,어패류전,80.0,75.354,94.192
D000328,돔베기적,적류,100.0,159.486,159.486
D000329,소고기산적,적류,200.0,453.075,226.538
D000330,소라산적,적류,80.0,120.1,150.125
D000331,오징어산적,적류,80.0,101.709,127.136
D000332,홍어적,적류,100.0,89.153,89.153
D000333,홍합산적,적류,80.0,156.665,195.831
D000334,가자미전,어패류전,150.0,230.282,153.521
D000336,고추전,채소류전,150.0,274.689,183.126
D000337,굴전,어패류전,100.0,195.0,195.0
D000339,깻잎전,채소류전,150.0,361.099,240.733
D000340,녹두빈대떡,부침류,100.0,207.942,207.942
D000342,동그랑땡(육원전),육류전,150.0,309.2,206.133
D000343,동태전,어패류전,150.0,268.045,178.697
D000345,두부전,채소류전,150.0,254.643,169.762
D000346,미나리전,채소류전,150.0,226.413,150.942
D000347,배추전,채소류전,150.0,240.746,160.497
D000348,버섯전,채소류전,150.0,240.687,160.458
D000350,야채전,채소류전,100.0,194.0,194.0
D000351,파전,채소류전,150.0,292.799,195.199
D000353,햄부침,육류전,100.0,244.0,244.0
D000354,호박부침개,채소류전,100.0,129.0,129.0
D000355,호박전,채소류전,150.0,208.104,138.736
D000356,화양적,적류,150.0,272.647,181.765
D000357,가자미조림,어패류조림,300.0,297.98,99.327
D000360,고추조림,채소류조림,100.0,111.0,111.0
D000362,동태조림,어패류조림,250.0,276.0,110.4
D000363,돼지고기메추리알장조림,육류조림,50.0,63.492,126.984
D000366,북어조림,어패류조림,100.0,181.86,181.86
D000367,소고기메추리알장조림,육류조림,50.0,60.652,121.304
